population,treatment,replicate,tag,date,doy,l1_total_length,l1_green_length,l2_total_length,l2_green_length,l3_total_length,l3_green_length,l4_total_length,l4_green_length,l5_total_length,l5_green_length,l6_total_length,l6_green_length,tiller_total_green_length,avg_green_leaf_length,tiller_pct_green
SG,Deep,3,SG 3-3,7/26/17,207,10,7.5,15,15,8,8,3,3,NA,NA,NA,NA,33.5,8.38,0.93
SG,Deep,3,SG 3-3,8/4/17,216,10,7.5,15,15,8,8,3,3,NA,NA,NA,NA,33.5,8.38,0.93
SG,Deep,3,SG 3-3,8/12/17,224,10,7.5,15,15,8,8,3,3,NA,NA,NA,NA,33.5,8.38,0.93
SG,Deep,3,SG 3-3,8/20/17,232,10,7.5,15,15,9,9,7,7,2,2,NA,NA,40.5,8.1,0.94
SG,Deep,3,SG 3-3,9/2/17,245,1,0,15,8,9,8,7,7,2,2,NA,NA,25,5,0.74
SG,Deep,3,SG 3-3,9/11/17,254,10,0,15,2,9,5,7,5,2,2,NA,NA,14,2.8,0.33
SG,Deep,4,SG 3-4,7/15/17,196,6.5,6,10,10,2,2,NA,NA,NA,NA,NA,NA,18,6,0.97
SG,Deep,4,SG 3-4,7/26/17,207,8.5,8,10,10,7,7,6,6,3.5,3.5,NA,NA,34.5,6.9,0.99
SG,Deep,4,SG 3-4,8/4/17,216,8,7,10,10,7,7,6.5,6.5,4,4,NA,NA,34.5,6.9,0.97
SG,Deep,4,SG 3-4,8/12/17,224,8,7,10,10,7,7,7,7,5,5,NA,NA,36,7.2,0.97
SG,Deep,4,SG 3-4,8/20/17,232,8,6,10,10,7,7,7,7,5,5,NA,NA,35,7,0.95
SG,Deep,4,SG 3-4,9/2/17,245,8,4.5,10,9,7,7,7,7,5,5,3,3,35.5,5.92,0.89
SG,Deep,4,SG 3-4,9/11/17,254,8,0,10,3,7,5,7,6,5,4,3,3,21,3.5,0.53
SG,Deep,5,SG 3-5,7/15/17,196,8,5.5,12,12,11,11,10,10,3,3,NA,NA,41.5,8.3,0.94
SG,Deep,5,SG 3-5,7/26/17,207,8,5.5,12,9,11,11,10,10,3,3,NA,NA,38.5,7.7,0.88
