population,treatment,replicate,tag,date,curve_id,obs,photo_umol_m2_s,cond_mol_m2_s,ci_umol_mol,trans_mmol_m2_s,vpd_kpa,tleaf_c,tblock_c,tair_c,co2_ref_umol_mol,co2_sample_umol_mol,par_umol_m2_s,press_kpa,leaf_area_cm2
SG,Wet,5,SG 2-5,17802,SG 2-5_17802,147,5.730005375,0.067569683,239.079742,2.51127108,3.387410562,32.08222961,15.14309692,16.09771538,399.5697937,395.7401123,1500.50061,92.82133484,1.71
SG,Wet,5,SG 2-5,17802,SG 2-5_17802,148,10.16169635,0.06736728,321.6308018,2.483458274,3.360595292,31.96865654,15.04827118,16.00138855,600.2351074,593.6077271,1500.836548,92.82520294,1.71
SG,Wet,5,SG 2-5,17802,SG 2-5_17802,149,13.62722359,0.0674413,426.7463003,2.47314803,3.343353465,31.89285851,15.02140903,15.94585896,799.5092773,790.633606,1500.747925,92.82215118,1.71
SG,Wet,5,SG 2-5,17802,SG 2-5_17802,150,16.78106063,0.06802539,543.67264,2.484654851,3.330813071,31.83725548,15.02225113,15.93800259,1000.144714,989.1855469,1500.436157,92.82142639,1.71
SG,Wet,5,SG 2-5,17802,SG 2-5_17802,151,20.2549311,0.067687767,647.9582246,2.464681116,3.320703318,31.78513336,15.02583885,15.93218231,1200.669556,1187.464966,1500.530396,92.82456207,1.71
CF,Dry,3,CF 1-3,17802,CF 1-3_17802,152,4.669174674,0.136938498,323.3860416,4.163520368,2.821082505,29.93188477,15.16027737,16.08105278,400.103241,397.3861084,1500.755371,92.82907867,1.29
CF,Dry,3,CF 1-3,17802,CF 1-3_17802,153,2.706814196,0.12960024,250.1624687,3.992959654,2.85409664,30.02756119,15.1014967,16.02950668,299.9519348,298.2767639,1501.516479,92.83580017,1.29
CF,Dry,3,CF 1-3,17802,CF 1-3_17802,154,0.581014486,0.123161913,181.767398,3.836649378,2.881331184,30.10283089,15.05451679,15.98164558,199.7947998,199.2167358,1499.921143,92.83098602,1.29
CF,Dry,3,CF 1-3,17802,CF 1-3_17802,155,-0.895879981,0.119564456,107.2331505,3.756020052,2.903266586,30.17197037,15.01770592,15.93751717,100.0802231,100.3032761,1499.99646,92.83453369,1.29
CF,Dry,3,CF 1-3,17802,CF 1-3_17802,156,-1.72864158,0.115086831,73.25895566,3.642199426,2.922097151,30.22188377,15.01972389,15.92230988,51.26897049,51.93057251,1500.273682,92.84248352,1.29
CF,Dry,3,CF 1-3,17802,CF 1-3_17802,157,4.145396422,0.111390728,318.0420795,3.529642988,2.923861328,30.19578934,15.02611446,15.9133606,399.7833557,397.3993225,1500.497437,92.85022736,1.29
CF,Dry,3,CF 1-3,17802,CF 1-3_17802,158,7.412914863,0.109278632,458.0507999,3.464601189,2.924233294,30.17705536,15.02646732,15.91104603,600.2644043,596.1913452,1500.236938,92.84988403,1.29
CF,Dry,3,CF 1-3,17802,CF 1-3_17802,159,9.815775719,0.106873315,607.7906215,3.402376714,2.934765194,30.20750999,15.02815056,15.91236687,799.6123657,794.2338867,1500.121826,92.85153198,1.29
CF,Dry,3,CF 1-3,17802,CF 1-3_17802,160,11.82145073,0.105018082,764.0391135,3.352020436,2.941242692,30.22324181,15.02765274,15.90667152,1000.117004,993.6054077,1500.321167,92.85346222,1.29
CF,Dry,3,CF 1-3,17802,CF 1-3_17802,161,13.88008506,0.103592208,919.1725981,3.311699714,2.945091542,30.22777557,15.02697372,15.90598774,1200.620972,1192.959839,1500.453857,92.85755157,1.29
