population,treatment,replicate,tag,date,doy,ndvi,lai,biomass_g
TL,Wet,3,TL 2-3,8/12/17,224,0.56,2.1758994138663192,0.5036050608606268
TL,Wet,4,TL 2-4,8/12/17,224,0.71,6.854751782652693,1.1185543274854868
TL,Wet,5,TL 2-5,8/12/17,224,0.63,3.717093711824644,0.7308383877263881
TL,Wet,6,TL 2-6,8/12/17,224,0.76,10.048688240773107,1.4594170461162947
TL,Dry,1,TL 1-1,8/12/17,224,0.65,4.331622151460234,0.812887197521663
TL,Dry,2,TL 1-2,8/12/17,224,0.39,0.592705341951152,0.2038516149509959
TL,Dry,3,TL 1-3,8/12/17,224,0.56,2.1758994138663192,0.5036050608606268
TL,Dry,4,TL 1-4,8/12/17,224,0.41,0.6906943401284741,0.22673736187188107
TL,Dry,5,TL 1-5,8/12/17,224,0.62,3.443340592633413,0.6929739106319657
TL,Dry,6,TL 1-6,8/12/17,224,0.55,2.0156507632344045,0.47751346166191155
TL,Deep,1,TL 3-1,8/12/17,224,0.44,0.8688733580376395,0.26597234879651266
TL,Deep,2,TL 3-2,8/12/17,224,0.46,1.012519827659118,0.29583218514842796
TL,Deep,3,TL 3-3,8/12/17,224,0.38,0.5490543208310023,0.193290135238654
TL,Deep,4,TL 3-4,8/12/17,224,0.64,4.012610803603205,0.7707718007556803
TL,Deep,5,TL 3-5,8/12/17,224,0.44,0.8688733580376395,0.26597234879651266
TL,Deep,6,TL 3-6,8/12/17,224,0.5,1.3749840109900042,0.36598500092614666
SG,Wet,1,SG 2-1,8/12/17,224,0.54,1.8672039587106786,0.4527736589435233
SG,Wet,2,SG 2-2,8/12/17,224,0.66,4.67599560021431,0.8573038028204663
SG,Wet,3,SG 2-3,8/12/17,224,0.71,6.854751782652693,1.1185543274854868
SG,Wet,4,SG 2-4,8/12/17,224,0.65,4.331622151460234,0.812887197521663
SG,Wet,5,SG 2-5,8/12/17,224,0.47,1.0930173717178273,0.3119966190852411
SG,Wet,6,SG 2-6,8/12/17,224,0.64,4.012610803603205,0.7707718007556803
SG,Dry,1,SG 1-1,8/12/17,224,0.56,2.1758994138663192,0.5036050608606268
SG,Dry,2,SG 1-2,8/12/17,224,0.54,1.8672039587106786,0.4527736589435233
SG,Dry,3,SG 1-3,8/12/17,224,0.57,2.3488881832220447,0.531122319445733
SG,Dry,4,SG 1-4,8/12/17,224,0.62,3.443340592633413,0.6929739106319657
SG,Dry,5,SG 1-5,8/12/17,224,0.65,4.331622151460234,0.812887197521663
SG,Dry,6,SG 1-6,8/12/17,224,0.59,2.737218072652074,0.5907496664735727
SG,Deep,1,SG 3-1,8/12/17,224,0.44,0.8688733580376395,0.26597234879651266
SG,Deep,2,SG 3-2,8/12/17,224,0.42,0.7456060530221711,0.23912641651496003
SG,Deep,3,SG 3-3,8/12/17,224,0.46,1.012519827659118,0.29583218514842796
SG,Deep,4,SG 3-4,8/12/17,224,0.53,1.7296898287232623,0.42931561661030765
SG,Deep,5,SG 3-5,8/12/17,224,0.5,1.3749840109900042,0.36598500092614666
SG,Deep,6,SG 3-6,8/12/17,224,0.37,0.508618070204669,0.18327584203617128
CF,Wet,1,CF 2-1,8/20/17,232,0.5,1.3749840109900042,0.36598500092614666
CF,Wet,2,CF 2-2,8/20/17,232,0.58,2.5356299386452834,0.5601431362332641
CF,Wet,3,CF 2-3,8/20/17,232,0.57,2.3488881832220447,0.531122319445733
CF,Wet,4,CF 2-4,8/20/17,232,0.61,3.1897485928749614,0.6570711786370236
CF,Wet,5,CF 2-5,8/20/17,232,0.7,6.349919290586819,1.060602425364279
CF,Wet,6,CF 2-6,8/20/17,232,0.55,2.0156507632344045,0.47751346166191155
CF,Dry,1,CF 1-1,8/20/17,232,0.5,1.3749840109900042,0.36598500092614666
CF,Dry,2,CF 1-2,8/20/17,232,0.53,1.7296898287232623,0.42931561661030765
CF,Dry,3,CF 1-3,8/20/17,232,0.57,2.3488881832220447,0.531122319445733
CF,Dry,4,CF 1-4,8/20/17,232,0.42,0.7456060530221711,0.23912641651496003
CF,Dry,5,CF 1-5,8/20/17,232,0.65,4.331622151460234,0.812887197521663
CF,Dry,6,CF 1-6,8/20/17,232,0.62,3.443340592633413,0.6929739106319657
